2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error en accept
2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-02-23 03:19:01,634 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 45208)
2013-02-23 05:42:38,398 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 45224)
2013-02-23 06:57:17,634 - pmlib_server.Server - ERROR - Error en accept
2013-02-23 06:57:17,634 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-02-23 14:53:09,874 - pmlib_server.Server - ERROR - Error en accept
2013-02-23 14:53:09,948 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-02-25 09:31:24,041 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 33772)
2013-02-25 09:38:33,422 - pmlib_server.Server - ERROR - Error en accept
2013-02-25 09:38:33,422 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-02-25 10:59:06,113 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 33797)
2013-02-25 11:33:25,947 - pmlib_server.Server - ERROR - Error en accept
2013-02-25 11:33:25,947 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-02-25 11:33:36,970 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 33801)
2013-02-25 12:23:07,838 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 43531)
2013-02-25 13:37:06,447 - pmlib_server.Counter - ERROR - Reacged max number of retries 10!: ('150.128.82.152', 43549)
2013-02-25 15:58:48,155 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 45965)
2013-02-25 16:43:17,386 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 45985) : [Errno 104] Connection reset by peer
2013-02-25 21:33:39,337 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46017) : [Errno 104] Connection reset by peer
2013-02-25 22:07:34,539 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46021) : [Errno 104] Connection reset by peer
2013-02-26 00:43:34,588 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46053) : [Errno 104] Connection reset by peer
2013-02-26 03:17:00,582 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46069) : [Errno 104] Connection reset by peer
2013-02-26 11:44:26,721 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 46124) : [Errno 104] Connection reset by peer
2013-02-26 15:38:35,708 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 46150) : [Errno 104] Connection reset by peer
2013-02-26 18:58:44,505 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46187) : [Errno 104] Connection reset by peer
2013-02-26 19:36:07,410 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46191) : [Errno 104] Connection reset by peer
2013-02-27 00:57:07,424 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46223) : [Errno 104] Connection reset by peer
2013-02-27 01:34:20,740 - pmlib_server.Counter - ERROR - Data could not be sent from Counter class!: ('150.128.82.152', 46227) : [Errno 104] Connection reset by peer
